SampleID	DNA conc
3B09BALB	3.401782
2B01BAL1stReturn	17.042496
2B01BALA	1.357834
2B01OW	0.604548
2B01PreWash2	0.858842
2B02BAL1stReturn	0.11995
2B02BALA	1.03157
2B02BALB	0.878034
2B02OW	40.826182
2B02PreWash2	0.91162
2B05BAL1stReturn	0.004798
2B05BALA	0.81566
2B05BALB	0.580558
2B05OW	14.230868
2B05PreWash2	0.849246
2B06BAL1stReturn	0.21591
2B06BALA	0.614144
2B06BALB	0.930812
2B06OW	8.310136
2B06PreWash2	0.422224
2B07BAL1stReturn	0.086364
2B07BALA	0.988388
2B07BALB	0.609346
2B07OW	0.657326
2B07PreWash2	0.316668
2B09BAL1stReturn	0.076768
2B09BALA	5.63765
2B09BALB	1.194702
2B09OW	2.754052
2B09PreWash2	0.302274
2B10BAL1stReturn	0.124748
2B10BALA	0.403032
2B10BALB	0.52778
2B10OW	5.22982
2B10PreWash2	0.81566
2B12BAL1stReturn	0.105556
2B12BALA	0.74369
2B12BALB	2.6389
2B12OW	0.522982
2B12PreWash2	0.07197
3B06BALA	1.242682
3B06BALB	0.916418
3B07BALA	0.43182
3B07BALB	2.907588
3B08BALA	0.52778
3B08BALB	0.604548
3B09BALA	0.997984
3B10BALA	1.170712
3B10BALB	1.554552
3B11BALA	0.590154
3B11BALB	1.146722
Tx32BAL	0.892944
Tx34BAL	0.698646
Tx32OW	1.666002
Tx34OW	3.195582
Pulm1BAL	1.914402
Pulm1OW	19.786952
Pulm1PreWash	0.398234
Pulm2BAL	10.00383
Pulm2OW	42.836544
Pulm2PreWash	0.129546
Pulm3BAL	1.75127
Pulm3OW	2.005564
Pulm3PreWash	0.235102
Pulm4BAL	3.98234
Pulm4OW	41.445124
Pulm4PreWash	0.225506
Pulm5BAL	6.592452
Pulm5OW	6.990686
Pulm5PreWash	0.62374
Pulm6BAL	2.437384
Pulm6OW	0.88763
Pulm6PreWash	0.297476
saline10.31	0.7197
saline11.1	0.714902
water10.31	0.657326
water11.1	0.225506
water11.2	0.513386
water11.3	0.211112
