OldSampleID	SampleID	DNAconc
HUP1A09_scope_1_postwash_ITS	HUP1A09.scope.1.postwash.ITS	3.07
HUP1A10_scope_1_postwash_ITS	HUP1A10.scope.1.postwash.ITS	15.66
HUP1B02_scope_1_postwash_ITS	HUP1B02.scope.1.postwash.ITS	12.44
HUP1B03_scope_1_postwash_ITS	HUP1B03.scope.1.postwash.ITS	5.93
HUP1B07_scope_1_postwash_ITS	HUP1B07.scope.1.postwash.ITS	1.02
HUP1A09_scope_1_prewash_ITS	HUP1A09.scope.1.prewash.ITS	0.54
HUP1A10_scope_1_prewash_ITS	HUP1A10.scope.1.prewash.ITS	0.84
HUP1B02_scope_1_prewash_ITS	HUP1B02.scope.1.prewash.ITS	1.82
HUP1B03_scope_1_prewash_ITS	HUP1B03.scope.1.prewash.ITS	2.13
HUP1B07_scope_1_prewash_ITS	HUP1B07.scope.1.prewash.ITS	0.52
HUP1A09_scope_2_prewash_ITS	HUP1A09.scope.2.prewash.ITS	0.25
HUP1A10_scope_2_prewash_ITS	HUP1A10.scope.2.prewash.ITS	1.67
HUP1B02_scope_2_prewash_ITS	HUP1B02.scope.2.prewash.ITS	0.76
HUP1B03_scope_2_prewash_ITS	HUP1B03.scope.2.prewash.ITS	0.69
HUP1B07_scope_2_prewash_ITS	HUP1B07.scope.2.prewash.ITS	0.79
HUP1A09_Bal_A_ITS	HUP1A09.Bal.A.ITS	1.37
HUP1A10_Bal_A_ITS	HUP1A10.Bal.A.ITS	2.05
HUP1B03_Bal_A_ITS	HUP1B03.Bal.A.ITS	1.63
HUP1B07_Bal_A_ITS	HUP1B07.Bal.A.ITS	1.18
HUP1A09_Bal_B_ITS	HUP1A09.Bal.B.ITS	3.47
HUP1B03_Bal_B_ITS	HUP1B03.Bal.B.ITS	3.78
HUP1B07_Bal_B_ITS	HUP1B07.Bal.B.ITS	4.72
HUP1A09_BAL_1st_return_ITS	HUP1A09.BAL.1st.return.ITS	0.98
HUP1A10_BAL_1st_return_ITS	HUP1A10.BAL.1st.return.ITS	1.97
HUP1B02_BAL_1st_return_ITS	HUP1B02.BAL.1st.return.ITS	2.68
HUP1B03_BAL_1st_return_ITS	HUP1B03.BAL.1st.return.ITS	1.21
HUP1B07_BAL_1st_return_ITS	HUP1B07.BAL.1st.return.ITS	3.37
HUP1A09_OW_ITS	HUP1A09.OW.ITS	14.35
HUP1A10_OW_ITS	HUP1A10.OW.ITS	29.20
HUP1B02_OW_ITS	HUP1B02.OW.ITS	28.89
HUP1B03_OW_ITS	HUP1B03.OW.ITS	30.21
HUP1B07_OW_ITS	HUP1B07.OW.ITS	1.96
Blank_1_3_19_13	Blank.1.3.19.13	2.02
Blank_2_3_19_13	Blank.2.3.19.13	0.31
Blank_4_3_22_13	Blank.4.3.22.13	0.63
Blank_5_3_22_13	Blank.5.3.22.13	0.18
